category_id,thread_id,title,question,author,posted_at
1,76,"CSS-Sky Line , Blocked at Step112","totally correct code ,but meaningless test result . pls help me .",Blake_xiaohui,2025-03-14 12:07:25+00:00
1,148,Landing Product Page ( How to insert image),Congrats~! You are now level 6!!!Don't want these messages anymore? You can turn them off in your /user-settings,CamperChan,2024-12-03 17:01:28+00:00
1,152,Learn Responsive Web Design by Building a Piano,Your second .key element should also have a class of black--key.,DreamWalker,2024-11-20 20:20:51+00:00
1,24,Question on one of the lessons about mailto:,"I'm currently following along on the fullstack curriculum thats in beta, but I do have a question on one of the lessons as I don't fully understand right now, why the information is being presented in this way.https://www.freecodecamp.org/learn/full-stack-developer/lecture-importance-of-semantic-html/how-do-you-display-addresses-in-htmlPerhaps I'm not differentiating user (a non-admin user) and user (as in client who owns website), that ""users will interprer the mailto: as spam, and spammers will use this to spam users""Is sort of confusing in that 1) for spammers to send email to users, your website would already need to be compromised in some way, the email form/mail to link simply opens up the individual who clicks on it, email client and pre fills the email address for the website/businesses contact information. I get how, leaving an open mailto: can leave a website open to getting attacks through email spam by scammers/spammers but how would a mailto: link open up actual users, to being targeted by spammers as the lesson indicates/describes?",Horrificdps,2025-05-03 18:53:13+00:00
1,25,HTML Inserting a Hamburger Menu in the proper position?,"Hey @Mike, it looks like you tried uploading something that wasn't an image or video. Please do not upload other files, to ensure the safety of our users.",CamperChan,2025-05-06 15:26:43+00:00
1,29,My code is doing what its required too but its not working,"Hey @Monkey, it looks like you tried uploading something that wasn't an image or video. Please do not upload other files, to ensure the safety of our users.",CamperChan,2025-05-03 17:41:21+00:00
1,30,Do i need a website when adding images to html.,When adding images in html do I have to download the image from the web or is there a way to have it go straight from Google? For example in step 11 in the build a recipe project?,Jared_King,2025-04-27 11:31:03+00:00
1,34,Im stuck at building my library,"Hey everyone,I'm building a multi-microservice project and currently working on a library for one of the services. Its purpose is to extract direct MP4 links (like CDN streaming links) from various platforms.Right now I'm stuck on Instagram  I can't find the correct tag or structure to extract the direct video link via simple HTTP requests.Important restrictions:No browser emulators (e.g., chromedp, puppeteer, etc.)No third-party downloaders (e.g., yt-dlp)Only pure HTTP requests  hardcore style (though interesting approaches are welcome).Is this a good topic to post here? And maybe someone can share hints or directions on how to approach Instagram specifically?Thanks in advance!",Gloucoma91Flocc,2025-04-27 22:45:39+00:00
1,37,No classlist on <p> tag,I am trying out my first TypeScript project but I have ran into a problem. I do not see a .classList in the list. Any help with that?,localhost,2025-05-26 13:01:46+00:00
1,41,Best way to get head element in the HEAD section,"Following is the code I wrote but it does not give me what I want which is attribute to style as I am trying to switch stylesheet for theme switcher, I get a lot of null but is there a more easy way to get this.theme.addEventListener('click', ()=>{       const children = head[0].children;       [...children].map(element =>{         console.dir(element.getAttribute('href'));       })   })",localhost,2025-05-22 21:25:14+00:00
1,44,HTML Exam Coming Soon Issue,"Hi everyone,I'm currently working through the Full Stack Developer Curriculum on FreeCodeCamp and I've encountered an issue with the HTML Exam. The page displays ""HTML Exam Coming Soon"" and I'm unable to proceed. I've completed all the steps in the HTML section and I'm eager to take the exam. Has anyone else experienced this problem or know when the exam will be available?Any information or advice would be greatly appreciated. Thank you!",Jonas15zwei9,2025-03-19 09:17:40+00:00
1,45,Cant pass building a job application,I've been going crazy trying to figure this out I can't seem to pass step 15 I've looked on forums and google trying to find the answer please help,djcharliedeville,2025-04-19 18:50:36+00:00
1,49,Bussiness card problem,"<!DOCTYPE html><html lang=""en""><head> <meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""> <title>Business card</title> <link rel=""stylesheet"" href=""style.css""></head><body> <div class=""business-card""> <img src=""https://cdn.freecodecamp.org/curriculum/labs/flower.jpg"" alt=""sunflower with a white background"" class=""profile-image""> <div class=""full-name"">Nikolaj Kalinin</div> <div class=""designation"">Full-stack developer</div> <div class=""company""><a href=""https://niky.dev"">Click to see</a></div> <hr> <p> Mail: <a href=""mailto:myemail@gmail.com"">myemail@gmail.com(not real)</a> </p> <p> Phone: <a href=""tel:+421123456789"">+421123456789</a> </p> <a href=""https://niky.dev/Niky.html"">Portfolio</a> <hr> <div class=""social-media""> <h2>Contact with me</h2> <a href="""">Twitter</a> <a href="""">LinkedIn</a> <a href="""">GitHub</a> </div> </div></body></html>Inside the .business-card element, after the img element, there should be a p element with the class full-name.,Failed: 21. After the full-name p element, there should be a p element with the class designation.Failed: 22. After the designation p element, there should be a p element with the class company.",Nikolaj - Nick,2025-04-07 15:53:44+00:00
1,53,Resume question,Hey everyone I have been making a static website with my college seniors and classmate for a foundation by the order of my department head I want to ask since I am contributing into this project can I use this to add in Cv/resume while applying for internship ? since it is a static website I want to knowThe image is just a sample of 1 I have to make similar pages for more 25 plants let me know what I should do :D,Alone,2025-03-30 09:26:52+00:00
1,57,i am on the first project of the freecodecamp course.,"i am making aq webside with a cat image, and when i want to go on it says that the src of the image is incorrect and shows me what it should have been. the catch is that the src in my code is the same as in the instructions.",cibejjaka,2025-03-30 18:32:21+00:00
1,58,i dont see the mistake on this,ive cross checked it.. n tried diffrent stuff but im not able solve this,FiredragonPlayz,2025-03-31 07:29:38+00:00
1,62,Help i'm new,"I did all the setups, i'm new tho",^$Astro^$,2025-03-28 19:32:33+00:00
1,63,Project help,"https://www.youtube.com/watch?v=a_iQb1lnAEQ&list=PLWKjhJtqVAbnSe1qUNMG7AbPmjIG54u88&index=3&t=15423sSo I want to do the project at the end of the video, presenting my city, but...I can't do it, I'll send the code.",Icarus,2025-03-27 10:37:05+00:00
1,67,unable to see image in background,"Hey @Alone, it looks like you tried uploading something that wasn't an image or video. Please do not upload other files, to ensure the safety of our users.",CamperChan,2025-03-21 18:49:55+00:00
1,71,Quiz Step 48 (top: 0; doubt),"I'm currently understanding ""Learn Accesibility by Building a Quiz"" but in step 48, this top: 0; throws me off so hard like why is it used here? It may make sense if it has a position",HemanthTG,2025-03-20 16:46:21+00:00
1,75,Tribute Page Certificate Project Issue,"I encountered a problem with the image width in the tribute project. Initially, I set the image max-width to 80% and ran the test, but as you can see, it didn't meet the criteria in question 17. After changing the max-width to 100%, question 17 passed, but question 19 failed instead. In conclusion, setting the max-width to 80% causes question 17 to fail, while setting it to 100% causes question 19 to fail. Please (modifi)",KAWPHUNMAN,2025-03-14 16:26:00+00:00
1,80,Need Assistance for my data selector for my Nutrition Tracker.,"Hello, I'm having issues with the date selector in my project. Currently, I created a date selector that goes to the previous and the next date. It goes from date to date like I wanted, but it's not exactly where I want to be. The issue I am having is that the food log does not align with the date. For example, the log should work how your notebook paper works in a notebook, One page is filled with writing, and another page, has different writing. That's how I want my log to look. It's going date form the date, but the tracker itself is not changing and I have no idea how to fix that. This is an example of how I want the trackers to work:https://imgur.com/a/63iFCsSIn this example, it shows two different trackers for two different days. How can I do this for my code? If anyone can help me, that would be great. Here is my GitHub link for this project. https://github.com/Aaliyah1225/Thesis_Statement",Science,2025-03-12 19:51:58+00:00
1,81,html certificate,"programming-help-forum when i've finished 4 steps to learn html and css , i've blocked by the finial ""invetigate form"" test . when i finished the code part ,only step 40 text is executed , then i didn't get any error or result . how can i go to next step ?",Blake_xiaohui,2025-03-10 02:50:33+00:00
1,85,Nutrition Fact Step:52,"I'm stuck here, I think it's got to do about the <span> element because I understand the instruction except the span part...Any help is appreciated!",KAWPHUNMAN,2025-03-11 04:36:23+00:00
1,86,Cafe Menu- Step 12,"Hi there, I am stuck on cafe menu step 12, both the links to the challenge and my pastebin are below",Danny,2025-03-02 13:20:29+00:00
1,90,Newbie looking for guidance.,"Hi everyone!Im completely new to coding (literally starting from zero!) and want to dive into blockchain development. After some research, Python seems like a great first programming language to learn, and Ive heard FreeCodeCamp is an excellent free resource. Id love some advice on how to structure my learning journey. My goals are to learn Python fundamentals thoroughly, learn version control, study data structures, and lastly learn smart contracts. Also if there are FreeCodeCamp projects I can look forward to on my journey I'm open to suggestions. Im eager to start but want to make sure Im on the right track. Thanks in advance for your wisdom!",Yonton,2025-03-08 02:37:38+00:00
1,91,weird shift and zoom of page when inspecting it,"Hey folks can anyone check this code out https://stackblitz.com/edit/vitejs-vite-pcp8adlj?file=src%2FApp.tsxwhen I inspect the page there is weird shift and zoom in the page, I have attached image of page with and without inspecting it, I have also attached image of X homepage with and without inspecting it in case if you think this might be the 50% scale I'm using when inspecting the page",Aditya Kirad,2025-02-24 12:14:32+00:00
1,95,NEED HELP!,I have no idea what's wrong here but it keeps telling me the text is wrong,kC,2025-02-18 06:18:46+00:00
1,96,Help ! Solution needed,"I'm stuck here, who can help me pleaseI've tried every thing I know but it isn't going through (modifi)",ʍǟӼɨƈʀʊɨֆɛ,2025-02-17 11:36:25+00:00
1,100,Build A Recipe Page,I need help on 20!https://www.freecodecamp.org/learn/full-stack-developer/lab-recipe-page/build-a-recipe-page,Danny,2025-02-17 15:44:39+00:00
1,104,Cat Photo App-Step 66,My code is here: https://pastebin.com/XxhJjc0FThe link to the step is here: https://www.freecodecamp.org/learn/2022/responsive-web-design/learn-html-by-building-a-cat-photo-app/step-66,DannyB1611,2025-02-06 19:34:14+00:00
1,105,Cat Photo App- Step 40,"Hi there, so i am currently stuck on this step. The link to the code is below. I thought this would work, however a error code appeared, Your form element should only contain the input element. Remove any extra HTML elements or text between the form element's tags.I am willing to try and find the answer, but i have been stuck for a long time!Thanks!",DannyB1611,2025-02-06 17:24:11+00:00
1,109,Build a Personal Portfolio Webpage help,you can put placeholders in there,ilenia (they/them),2025-01-26 15:21:40+00:00
1,114,Cat Photo App- Step 29,what is your code,ilenia (they/them),2025-01-21 20:05:53+00:00
1,115,Flexbox navbar background-color issue,"Hey, I am trying to build a navbar, but I get an issue, with the background color, which goes by the items in the navbar. I know it has to do something with the flexbox, but is there any fix to it without using media queries?",🩸Kyros🩸,2025-01-19 17:37:17+00:00
1,119,Cat Photo App- Step 27,Congrats~! You are now level 2!!!Don't want these messages anymore? You can turn them off in your /user-settings,CamperChan,2025-01-18 22:42:04+00:00
1,120,Cat Photo App Help- Step 17,https://www.freecodecamp.org/learn/2022/responsive-web-design/learn-html-by-building-a-cat-photo-app/step-17,DannyB1611,2025-01-18 22:13:25+00:00
1,124,Lesson 12- Cat photo app issue,@Your Friendly Moderator,DannyB1611,2025-01-18 21:39:04+00:00
1,125,"label, input checkbox, toggle , how",https://dontasktoask.com/,RazzleFish DazzleFish,2025-01-17 22:13:05+00:00
1,129,Zooming Out in HTML CSS,"Hello, I'm currently making a website and I was looking at this web reference and I noticed that when u zoom out, the contents inside of it doesnt move and just stays in the middle. How do you do that? Thanks!",᲼,2025-01-14 15:30:17+00:00
1,130,[Help Needed] Hybrid 1:1 Pomodoro Timer App - Kotlin/TypeScript Builds,do you need help or are you advertising your project?,RazzleFish DazzleFish,2025-01-09 21:34:11+00:00
1,134,HTML Cert Project: Build a product landing page,"I don't have a link or place to host my code, so I'm going to copy it the best I can.X Failed: 11. You should have a video or iframe element with an id of video.X Failed: 12. Your #video should have an src atrribute.<iframe id=""video"" src=""https://www.youtube.com/embed/3BFTio5296w"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen></iframe>I've spend 3 days trying to figure this stuff out. Everything passes but THESE TWO ELEMENTS.",Hatty,2024-12-13 01:08:36+00:00
1,135,WooCommerce Plugin Development Help,"Hi guys, I want to build a woocommerce plugin, I just want to know what is the fastest way to build it, means if woocommerce provides any template. and where do I have to write the frontend and backend code? And the most important thing is how to deploy it. How to make it available for everyone?Thanks in advance",Suman Maji,2025-01-08 03:41:33+00:00
1,139,Having trouble adding ALT,"This is my first day doing coding. I'm trying to add the ALT attribute to my code but it is not working. I keep getting the error ""Your img element does not have an alt attribute. Check that there is a space after the opening tag's name and/or there are spaces before all attribute names."" I'm not sure what this means. Here is the code: <img src=""https://cdn.freecodecamp.org/curriculum/cat-photo-app/relaxing-cat.jpg""""alt""=""A cute orange cat lying on its back"">",Danny,2024-12-18 13:43:57+00:00
1,140,Checked Attributes error,I'm trying to use the checked attribute on the fee code site after completing the code its saying im doing something wrong . I can not see the problem currently .,Toast.,2024-12-08 01:10:22+00:00
1,144,Issue with feecodecamp not passing the code but it works when i test it on JSfiddle,Congrats~! You are now level 1!!!Don't want these messages anymore? You can turn them off in your /user-settings,CamperChan,2024-12-11 18:47:30+00:00
1,153,CSS Building a Penguin Step 82,Not sure what to do here,DreamWalker,2024-11-30 02:49:38+00:00
1,157,Learn CSS Transforms by building a penguin -step 48,"Step 48Currently, the two .face elements are on top of each other.Fix this, by adding a class of left to the first .face element, and a class of right to the second .face element. <div class=""left-mountain""></div> <div class=""back-mountain""></div> <div class=""sun""></div> <div class=""penguin""> <div class=""penguin-head""> <div class=""face"" class=""left""></div> <div class=""face"" class=""right""></div> </div> <div class=""penguin-body""></div> </div>Check Your Code (Ctrl + Enter)Sorry, your code does not pass. Keep trying.You should give a class of left to the first .face element",DreamWalker,2024-11-28 23:12:19+00:00
1,158,Lear CSs Grid by Building a Magazine,"I am not sure what is going on, I think the check code is just being fickle .",DreamWalker,2024-11-25 21:29:36+00:00
1,162,need help with my bootstrap section cant get to take while right side and responsive,the last image is mine anyone can help please this is urgent ?,brick wall,2024-11-23 12:03:43+00:00
1,163,Tribute Page,"<!DOCTYPE html><html lang=""en""> <head> <meta charset=""utf-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""> <title id=""title"">Dr. Norman Borlaug</title> <link rel=""stylesheet"" href=""styles.css""> </head> <body> <main id=""main""> <h1 id=""title"">Dr. Norman Borlaug</h1><div id=""img-div""> <img id=""image"" > </img><div id=""img-caption"">Ada Lovelace, the first computer programmer.</div> </div><div id=""tribute-info"">The man who saved a billion lives</div><a id=""tribute-link"" target=""_blank"" href=""https://cdn.freecodecamp.org/testable-projects-fcc/images/tribute-page-main-image.jpg"" alt=""https://en.wikipedia.org/wiki/Norman_Borlaug#/media/File:Borlaug90-2004.jpg""> </a></body>.image{ max-width:100%; height:auto; display:center;}.tribute-info{ display:center;}.img-caption{font-size: 14px;text-align: center;}.img-div{font-size: 14px;text-align: center;}img{ display:block;}https://www.freecodecamp.org/learn/2022/responsive-web-design/build-a-tribute-page-project/build-a-tribute-page",DreamWalker,2024-11-19 16:04:28+00:00
1,167,How to achieve the following design,"So, I want to create a responsive layout for this design structure. However, I don't know a way to smooth-out all the vertices of the background shape. Can someone help me up? Codepen Link: https://codepen.io/pixelforge/pen/ZEgPvbR (modifi)",PixelForge,2024-11-14 17:47:55+00:00
1,168,Tribute Page- Project,"Getting errors but not sure whyYour #tribute-info should not be empty.,Your #image should be centered within its parent.,",DreamWalker,2024-11-19 00:37:23+00:00
1,173,Struggling with Web Dev,"Hey everyone, I'm in a Web Dev class right now, but I'm having a hard time. We mainly use JS, Axios, MongoDB, Express, HTML, and CSS. If anyone has resources to be able to understand it better (ex. an online course), please direct me to there. I could really use the material. Thanks.",ian || shenanigans,2024-11-13 21:54:38+00:00
1,177,Learn Accessibility by Building a Quiz-Step-67,"Step 67Finally, certain types of motion-based animations can cause discomfort for some users. In particular, people with vestibular disorders have sensitivity to certain motion triggers.The @media at-rule has a media feature called prefers-reduced-motion to set CSS based on the user's preferences. It can take one of the following values:reduceno-preferenceExample Code@media (feature: value) { selector { styles }}Wrap the style rule that sets scroll-behavior: smooth within a @media at-rule with the media feature prefers-reduced-motion having no-preference set as the value.Well done. You have completed the Accessibility Quiz practice project.@media (prefers-reduced-motion: no-preference) { html { scroll-behavior: smooth; }{scroll-behavior: smooth;,}}Sorry, your code does not pass. Try again.You should have one @media (prefers-reduced-motion: no-preference) rule.",DreamWalker,2024-11-12 19:48:24+00:00
1,178,I can't tell what this is asking step 57 Learn Accessibility by Building a Quiz,"Step 57To align the input boxes with each other, create a new ruleset that targets all input and label elements within an .info element and set the display property to inline-block.Also, align the label element's text to the right.input label{ display:inline-block;}.info input { width: 50%; text-align: left;}.info label { width: 10%; min-width: 55px;}Sorry, your code does not pass. You're getting there.You should use either a .info > label, .info > input or .info label, .info input selector.",DreamWalker,2024-11-12 18:48:32+00:00
1,182,Survey Form Project- Errors,I am getting errors for what I can tell is there?,DreamWalker,2024-11-03 22:16:08+00:00
1,183,Can't load into lessons,"Good day everyone. So, I have been using freecodecamp app seamlessly, for some time now. However, this morning, I tried to load a lesson, as I usually do, only to find that it just won't load. It kept loading indefinitely, and never brought up the actual lesson it's selfAm i the only one experinces this? And can someone pls tell me how I can fix it.",PenLandSaga,2024-11-09 10:52:23+00:00
1,187,Error when combining NodeJS and HTML,"So I was making a simple clicker game. Here is the code (simplified)<!DOCTYPE html><html lang=""en"">    <head>        <meta charset=""utf-8"">        <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">        <title>Clicker</title>    </head>    <body>        <span id=""click"">0</span>        <button onclick=""hi()"">Click</button>        <script src=""game.js""></script>    </body></html>JavaScript:const fs = require('node:fs');data = fs.readFileSync(""data.txt"",""utf-8"");let text=document.getElementById(""click"");text.innerHTML=data;let a = Number(text.innerText);function hi() {    a+=1;    text.innerHTML=a;    fs.writeFileSync(""data.txt"",a);}The data.txt file contain 1 integer.So I want that when I click the button, it will run the function hi(), but I cannot do that and the function got the error "" 'hi' is declared but its value is never read "". After removing the code one by one, I was able to figure out that the node js was causing this problem. When I remove it, the function works. And when I try to run the node js by itself (in visual code not by clicking the button in website) it also works, so I think it has to be both in the same code to cause this error. even if I delete all the other codes that involve nodejs and leave only the importing code (line 1), it still has that error.How can I make this work? (modifi)",Tuan,2024-11-07 14:16:31+00:00
1,188,"Tribute Page, your #image should be centered within it's parent.","Hi! I recently finished my responsive web design cert, so I decided to go back and update my old projects to look respond better on smaller screens. Whenever I go to submit the code I get this error as stated above.I am at a loss on what to do here. I feel like it's something small I am overlooking and it's frustrating. Here's my codepen.io link.https://codepen.io/StudentProgrammer451/pen/ExqLzNYThank you!",CodingPanda,2024-11-05 01:27:43+00:00
1,276,Help with FlipCard effect,"Hi friends! After completing the Cat Photo Gallery, I tried recreating one myself, as I wanted to have a gallery of ATLA characters. To take it further, I want the photos to have a flip card effect, and by following the steps here: https://jefferson-cuartas.medium.com/how-to-create-a-flip-card-effect-using-javascript-767dd945210c, I still wasn't successful. I don't know much about JS yet and knows the very very basics, so can someone tell me what I did wrong here? I'm still really new so I know there may be a lot, but some guidance would be very much appreciated. Here's my CodePen: https://codepen.io/revup37/pen/WNqKzxO",RevelUp,2024-08-29 05:26:22+00:00
1,192,Survey Form,"<!DOCTYPE html><html lang=""en""><link rel=""stylesheet"" href=""styles.css""><head> <meta charset=""utf-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""> <title>Photo Gallery</title> <link rel=""stylesheet"" href=""./styles.css""></head><body> <main> <h1 id=""title"">freeCodeCamp Survey Form</h1> <p id=""description""> <description>Thank you for taking the time to help us improve the platform </description></p> <form action=""form_handler.php"" method=""post"" id=""survey-form""> <div id=""name"" type=""text""> <label for=""name"">Name</label>  <br></br> <input id=""name"" type=""text"" placeholder="" Enter your name"" requried </input> <br></br> </div><div id=""Email"" type=""text""> <label for=""Email""> Email </label>  <br></br> <input id=""Email"" type=""text"" placeholder=""Enter your email"" requried </input>  <br></br> </div> <div id=""Number""><label for=""Number""> Age (Optional) </label> <br></br> <input id=""Number-label"" type=""text"" placeholder=""Age"" requried </input>  <br></br> </div><label for=""Which option best describes your current role?""> Which option best describes your current role?</label><br></br>  <select id=""dropdown"" type=""button"" placeholder=""Number"">  <option value=""Student"">Student</option> <option value=""Full time Job"">Full time Job</option> <option value=""Full time Learner"">Full time Learner</option> <option value=""Prefer not to say"">Prefer not to say</option> <option value=""Other"">Other</option> </select> <br></br> (modifi)",DreamWalker,2024-11-03 20:00:30+00:00
1,196,Step 62 Learn Typography by Building a Nutrition Label,"<!DOCTYPE html><html lang=""en""><head> <meta charset=""UTF-8""> <title>Nutrition Label</title> <link href=""https://fonts.googleapis.com/css?family=Open+Sans:400,700,800"" rel=""stylesheet""> <link href=""./styles.css"" rel=""stylesheet""></head><body> <div class=""label""> <header> <h1 class=""bold"">Nutrition Facts</h1> <div class=""divider""></div> <p>8 servings per container</p> <p class=""bold"">Serving size <span>2/3 cup (55g)</span></p> </header> <div class=""divider large""></div> <div class=""calories-info""> <div class=""left-container""> <h2 class=""bold small-text"">Amount per serving</h2> <p>Calories</p> </div> <span>230</span> </div> <div class=""divider medium""></div> <div class=""daily-value small-text""> <p class=""bold right no-divider"">% Daily Value *</p> <div class=""divider""></div> <p><span><span class=""bold"">Total Fat</span> 8g</span> <span class=""bold"">10%</span></p> <p class=""indent no-divider"">Saturated Fat 1g <span class=""bold"">5%</span></p> <div class=""divider""></div> <p class=""indent no-divider""><span><i>Trans</i> Fat 0g</span></p> <div class=""divider""></div> <p><span><span class=""bold"">Cholesterol</span> 0mg</span> <span class=""bold"">0%</span></p> <p><span><span class=""bold"">Sodium</span> 160mg</span> <span class=""bold"">7%</span></p> <p><span><span class=""bold"">Total Carbohydrate</span> 37g</span> <span class=""bold"">13%</span></p> <p class=""indent no-divider"">Dietary Fiber 4g</p> <div class=""divider""></div> <p class=""indent no-divider"">Total Sugars 12g</p> <div class=""divider double-indent""></div> <p class=""double-indent no-divider"">Includes 10g Added Sugars <span class=""bold"">20%</span></p> <div class=""divider""></div> <p class=""no-divider""> <span> <span class=""bold"">Protein</span> 3g</span> </p> </div> </div></body></html>",DreamWalker,2024-10-31 20:36:56+00:00
