author,questions_posted,first_question,answers_posted,first_answer,join_date,total_posts,is_bot
@Icarus,0,,12,2025-03-27 10:39:18+00:00,2025-03-27 10:39:18+00:00,12,False
@JStrummer,0,,4,2023-02-04 17:59:56+00:00,2023-02-04 17:59:56+00:00,4,False
@Jared_King,0,,1,2025-04-27 19:04:22+00:00,2025-04-27 19:04:22+00:00,1,False
@Jawad,0,,1,2023-11-13 07:02:25+00:00,2023-11-13 07:02:25+00:00,1,False
@JazzaFrazz,0,,9,2023-06-04 19:09:16+00:00,2023-06-04 19:09:16+00:00,9,False
@Jazzy,0,,1,2023-06-23 17:23:42+00:00,2023-06-23 17:23:42+00:00,1,False
@Jen Schultz (GMT -5),0,,3,2024-02-21 00:58:29+00:00,2024-02-21 00:58:29+00:00,3,False
@Jishing,0,,21,2023-11-07 14:05:34+00:00,2023-11-07 14:05:34+00:00,21,False
@Joe Joe,0,,6,2023-05-28 13:41:26+00:00,2023-05-28 13:41:26+00:00,6,False
@Jonas15zwei9,0,,2,2025-04-21 22:50:31+00:00,2025-04-21 22:50:31+00:00,2,False
@Juan Luis,0,,2,2024-08-19 21:51:12+00:00,2024-08-19 21:51:12+00:00,2,False
@Juan(K1D_AC3_21),0,,2,2023-12-25 07:44:02+00:00,2023-12-25 07:44:02+00:00,2,False
@Jules (salentipy),0,,2,2024-07-12 20:18:17+00:00,2024-07-12 20:18:17+00:00,2,False
@Jérémie,0,,2,2025-05-23 21:31:36+00:00,2025-05-23 21:31:36+00:00,2,False
@KAWPHUNMAN,0,,5,2025-03-11 04:39:35+00:00,2025-03-11 04:39:35+00:00,5,False
@Kai,0,,4,2023-12-14 17:13:50+00:00,2023-12-14 17:13:50+00:00,4,False
@Khaiyadsai,0,,3,2024-07-26 10:12:37+00:00,2024-07-26 10:12:37+00:00,3,False
@Kilos,0,,8,2023-06-16 21:56:18+00:00,2023-06-16 21:56:18+00:00,8,False
@Kliff,0,,1,2023-01-27 18:05:19+00:00,2023-01-27 18:05:19+00:00,1,False
@KozmicLuis,0,,2,2023-07-18 17:02:58+00:00,2023-07-18 17:02:58+00:00,2,False
@Kraval,0,,1,2023-10-26 02:58:26+00:00,2023-10-26 02:58:26+00:00,1,False
@Kris,0,,1,2024-07-12 03:17:37+00:00,2024-07-12 03:17:37+00:00,1,False
@Krizt Ruiz,0,,1,2024-12-09 09:35:24+00:00,2024-12-09 09:35:24+00:00,1,False
@Kypac,0,,1,2023-02-24 04:19:47+00:00,2023-02-24 04:19:47+00:00,1,False
@LBJ,0,,1,2023-04-03 04:58:02+00:00,2023-04-03 04:58:02+00:00,1,False
@LEGION,0,,1,2024-05-13 15:45:34+00:00,2024-05-13 15:45:34+00:00,1,False
@LLC00LTAY,0,,5,2024-01-17 11:40:31+00:00,2024-01-17 11:40:31+00:00,5,False
@Lanie,0,,12,2022-10-02 04:49:47+00:00,2022-10-02 04:49:47+00:00,12,False
@Late2Dinner,0,,6,2024-01-30 17:57:33+00:00,2024-01-30 17:57:33+00:00,6,False
@Les Carbonaro,0,,5,2024-06-01 13:27:16+00:00,2024-06-01 13:27:16+00:00,5,False
@Leti._.what,0,,3,2024-08-10 14:29:34+00:00,2024-08-10 14:29:34+00:00,3,False
@LittleInksmith,0,,1,2024-12-04 17:15:12+00:00,2024-12-04 17:15:12+00:00,1,False
@Logan,0,,3,2024-12-25 10:31:58+00:00,2024-12-25 10:31:58+00:00,3,False
@Lokesh Jay,0,,36,2023-01-28 12:40:32+00:00,2023-01-28 12:40:32+00:00,36,False
@Lorena,0,,1,2024-03-13 15:36:01+00:00,2024-03-13 15:36:01+00:00,1,False
@Lou ✨,0,,1,2023-05-05 13:37:51+00:00,2023-05-05 13:37:51+00:00,1,False
@Luca,0,,3,2023-01-02 12:28:14+00:00,2023-01-02 12:28:14+00:00,3,False
@Lyall,0,,3,2022-09-14 16:24:13+00:00,2022-09-14 16:24:13+00:00,3,False
@M4ST3ER3,0,,10,2022-11-17 17:29:48+00:00,2022-11-17 17:29:48+00:00,10,False
@Maestro,0,,10,2024-01-19 10:56:37+00:00,2024-01-19 10:56:37+00:00,10,False
@Mando,0,,3,2023-10-22 13:03:10+00:00,2023-10-22 13:03:10+00:00,3,False
@Marshall,0,,4,2024-09-28 06:53:25+00:00,2024-09-28 06:53:25+00:00,4,False
@Martin Švanda,0,,3,2024-04-18 14:34:41+00:00,2024-04-18 14:34:41+00:00,3,False
@Mc Samuel,0,,1,2024-01-10 18:58:52+00:00,2024-01-10 18:58:52+00:00,1,False
@McClowny,0,,1,2025-03-30 19:22:50+00:00,2025-03-30 19:22:50+00:00,1,False
@Mees,0,,1,2024-03-28 21:19:07+00:00,2024-03-28 21:19:07+00:00,1,False
@Mia,0,,8,2023-03-22 06:40:49+00:00,2023-03-22 06:40:49+00:00,8,False
@MindfulTatiana,0,,2,2024-01-07 14:58:45+00:00,2024-01-07 14:58:45+00:00,2,False
@Miszkas_sm,0,,4,2025-05-24 16:25:23+00:00,2025-05-24 16:25:23+00:00,4,False
@Mohammed_Malleck,0,,6,2024-05-20 11:42:08+00:00,2024-05-20 11:42:08+00:00,6,False
@Molasses,0,,2,2024-07-26 03:07:37+00:00,2024-07-26 03:07:37+00:00,2,False
@Mr. Limbo,0,,1,2024-06-27 17:35:58+00:00,2024-06-27 17:35:58+00:00,1,False
@MrKjeld,0,,3,2023-06-23 07:05:56+00:00,2023-06-23 07:05:56+00:00,3,False
@Muhammad Muzzamal,0,,1,2025-04-07 19:24:18+00:00,2025-04-07 19:24:18+00:00,1,False
@Muhammad Zeeshan,0,,3,2024-08-19 19:44:42+00:00,2024-08-19 19:44:42+00:00,3,False
@Mujab_ayo,0,,2,2023-03-03 13:44:15+00:00,2023-03-03 13:44:15+00:00,2,False
@My name is Err,0,,3,2024-09-09 20:25:17+00:00,2024-09-09 20:25:17+00:00,3,False
@NINJA⚔,0,,1,2023-08-10 00:49:40+00:00,2023-08-10 00:49:40+00:00,1,False
@NK_dacoder,0,,2,2024-09-24 10:08:18+00:00,2024-09-24 10:08:18+00:00,2,False
@NT,0,,6,2023-05-06 13:27:10+00:00,2023-05-06 13:27:10+00:00,6,False
@Naomi,0,,13,2022-10-08 21:11:03+00:00,2022-10-08 21:11:03+00:00,13,False
@Nassim,0,,1,2025-03-09 05:53:17+00:00,2025-03-09 05:53:17+00:00,1,False
@NeedHelp!!!!,0,,2,2024-04-11 16:18:17+00:00,2024-04-11 16:18:17+00:00,2,False
@Nevin06,0,,4,2023-05-08 18:36:42+00:00,2023-05-08 18:36:42+00:00,4,False
@Nicholas Bennett,0,,2,2025-05-03 10:38:47+00:00,2025-05-03 10:38:47+00:00,2,False
@Nikolaj - Nick,0,,4,2025-04-07 15:53:46+00:00,2025-04-07 15:53:46+00:00,4,False
@Nils,0,,2,2024-08-09 18:14:20+00:00,2024-08-09 18:14:20+00:00,2,False
@Njun,0,,12,2023-11-11 14:07:12+00:00,2023-11-11 14:07:12+00:00,12,False
@Oyasumhi,0,,1,2024-08-21 04:40:40+00:00,2024-08-21 04:40:40+00:00,1,False
@Pablo Caballero,0,,1,2024-01-31 16:08:06+00:00,2024-01-31 16:08:06+00:00,1,False
@PapermasteroneDC,0,,9,2024-06-05 23:49:37+00:00,2024-06-05 23:49:37+00:00,9,False
@Pers,0,,3,2025-03-16 21:58:53+00:00,2025-03-16 21:58:53+00:00,3,False
@Pit,0,,2,2024-11-07 15:26:17+00:00,2024-11-07 15:26:17+00:00,2,False
@PlatonicLettuce,0,,1,2023-02-24 00:09:18+00:00,2023-02-24 00:09:18+00:00,1,False
@Pure,0,,10,2023-11-22 12:03:03+00:00,2023-11-22 12:03:03+00:00,10,False
@Purnima,0,,1,2024-05-21 13:56:43+00:00,2024-05-21 13:56:43+00:00,1,False
@R4DN4S,0,,3,2025-01-23 14:19:33+00:00,2025-01-23 14:19:33+00:00,3,False
@Raavanan,0,,4,2022-10-27 12:58:43+00:00,2022-10-27 12:58:43+00:00,4,False
@Rain,0,,29,2024-07-25 17:54:08+00:00,2024-07-25 17:54:08+00:00,29,False
@Raj,0,,1,2025-03-17 10:57:00+00:00,2025-03-17 10:57:00+00:00,1,False
@RazzleFish DazzleFish,0,,121,2024-01-21 13:08:56+00:00,2024-01-21 13:08:56+00:00,121,False
@Reayler,0,,1,2024-04-07 11:23:56+00:00,2024-04-07 11:23:56+00:00,1,False
@Reba,0,,2,2022-10-08 21:09:52+00:00,2022-10-08 21:09:52+00:00,2,False
@Ren,0,,2,2024-02-21 15:35:20+00:00,2024-02-21 15:35:20+00:00,2,False
@RevelUp,0,,3,2024-08-29 05:26:23+00:00,2024-08-29 05:26:23+00:00,3,False
@Riley,0,,14,2023-12-04 17:47:10+00:00,2023-12-04 17:47:10+00:00,14,False
@Rithvik,0,,3,2024-04-18 06:33:24+00:00,2024-04-18 06:33:24+00:00,3,False
@Ritvars ⬣ r-staking.com,0,,4,2024-01-19 18:44:31+00:00,2024-01-19 18:44:31+00:00,4,False
@Riya Dhami,0,,4,2024-07-06 10:37:18+00:00,2024-07-06 10:37:18+00:00,4,False
@S0N!C,0,,2,2024-06-02 07:25:49+00:00,2024-06-02 07:25:49+00:00,2,False
@Saburo,0,,2,2024-01-23 13:30:37+00:00,2024-01-23 13:30:37+00:00,2,False
@SaintPeter,0,,93,2022-10-03 22:13:13+00:00,2022-10-03 22:13:13+00:00,93,False
@Scheming Witch,0,,2,2024-01-02 16:56:28+00:00,2024-01-02 16:56:28+00:00,2,False
@Sebastian_W,0,,17,2024-09-08 15:52:45+00:00,2024-09-08 15:52:45+00:00,17,False
@Sebastián M,0,,2,2024-07-29 16:27:44+00:00,2024-07-29 16:27:44+00:00,2,False
@Sen,0,,16,2024-08-04 12:29:02+00:00,2024-08-04 12:29:02+00:00,16,False
@Serge Sunlust Solkatt,0,,14,2023-07-08 20:11:39+00:00,2023-07-08 20:11:39+00:00,14,False
@Shayan,0,,1,2023-11-30 12:06:30+00:00,2023-11-30 12:06:30+00:00,1,False
@Simon,0,,3,2025-05-25 16:22:45+00:00,2025-05-25 16:22:45+00:00,3,False
@Snake-Lady Fighter JoJoMathsFish,0,,8,2024-10-29 17:39:40+00:00,2024-10-29 17:39:40+00:00,8,False
@Snow,0,,2,2025-03-13 14:42:58+00:00,2025-03-13 14:42:58+00:00,2,False
@Someone,0,,1,2023-05-05 13:47:22+00:00,2023-05-05 13:47:22+00:00,1,False
@Soum,0,,2,2023-04-07 00:19:49+00:00,2023-04-07 00:19:49+00:00,2,False
@Spaceman,0,,2,2023-01-31 07:57:02+00:00,2023-01-31 07:57:02+00:00,2,False
@Sprigazalea,0,,3,2025-02-01 03:44:17+00:00,2025-02-01 03:44:17+00:00,3,False
@Starbreeze,0,,18,2022-12-14 19:56:29+00:00,2022-12-14 19:56:29+00:00,18,False
@Stephan,0,,2,2023-03-19 00:24:43+00:00,2023-03-19 00:24:43+00:00,2,False
@Stonelar,0,,3,2024-10-19 14:31:24+00:00,2024-10-19 14:31:24+00:00,3,False
@Suzy M,0,,32,2024-04-11 17:39:00+00:00,2024-04-11 17:39:00+00:00,32,False
@Tahmid Emam,0,,2,2025-01-20 08:22:17+00:00,2025-01-20 08:22:17+00:00,2,False
@TanDoori CodEs,0,,1,2024-12-11 18:34:15+00:00,2024-12-11 18:34:15+00:00,1,False
@Tareq,0,,4,2023-10-26 15:24:32+00:00,2023-10-26 15:24:32+00:00,4,False
@Tcukawi | Arichain,0,,1,2023-04-02 02:54:03+00:00,2023-04-02 02:54:03+00:00,1,False
@TechVio,0,,2,2023-05-29 14:58:41+00:00,2023-05-29 14:58:41+00:00,2,False
@Temujin,0,,3,2025-04-29 23:08:03+00:00,2025-04-29 23:08:03+00:00,3,False
@Tex,0,,2,2022-09-16 15:23:02+00:00,2022-09-16 15:23:02+00:00,2,False
@The baller,0,,12,2024-04-24 06:26:36+00:00,2024-04-24 06:26:36+00:00,12,False
@Tiit0.,0,,1,2022-10-19 09:01:19+00:00,2022-10-19 09:01:19+00:00,1,False
@Toast.,0,,3,2024-12-08 01:19:14+00:00,2024-12-08 01:19:14+00:00,3,False
@Tony Fifi,0,,3,2023-04-27 13:59:13+00:00,2023-04-27 13:59:13+00:00,3,False
@Tordur Hansen,0,,3,2025-05-23 22:45:05+00:00,2025-05-23 22:45:05+00:00,3,False
@Tuan,0,,2,2024-11-08 00:51:23+00:00,2024-11-08 00:51:23+00:00,2,False
@Tumbo,0,,1,2025-05-26 06:43:13+00:00,2025-05-26 06:43:13+00:00,1,False
@TyeCodes,0,,3,2024-07-25 17:07:47+00:00,2024-07-25 17:07:47+00:00,3,False
@Tylevo,0,,3,2024-06-10 20:15:12+00:00,2024-06-10 20:15:12+00:00,3,False
@Udai,0,,4,2023-11-05 12:37:18+00:00,2023-11-05 12:37:18+00:00,4,False
@Uploadsys,0,,5,2024-05-22 12:33:00+00:00,2024-05-22 12:33:00+00:00,5,False
@Vengeance,0,,1,2025-03-15 13:07:20+00:00,2025-03-15 13:07:20+00:00,1,False
@Vipe,0,,29,2024-02-27 20:13:53+00:00,2024-02-27 20:13:53+00:00,29,False
@Vyvy-vi,0,,6,2022-10-03 12:13:34+00:00,2022-10-03 12:13:34+00:00,6,False
@WINNER,0,,23,2023-09-19 17:22:54+00:00,2023-09-19 17:22:54+00:00,23,False
@WangGang,0,,5,2022-11-17 17:00:37+00:00,2022-11-17 17:00:37+00:00,5,False
@Warrior,0,,16,2023-10-21 22:43:59+00:00,2023-10-21 22:43:59+00:00,16,False
@Werner,0,,51,2024-09-29 22:05:58+00:00,2024-09-29 22:05:58+00:00,51,False
@Xavier,0,,1,2023-04-02 20:18:06+00:00,2023-04-02 20:18:06+00:00,1,False
@Yllen Fernandez,0,,15,2024-02-29 17:18:47+00:00,2024-02-29 17:18:47+00:00,15,False
@Your Friendly Moderator,0,,1,2025-01-12 11:18:42+00:00,2025-01-12 11:18:42+00:00,1,True
@Zak,0,,4,2024-07-13 10:23:45+00:00,2024-07-13 10:23:45+00:00,4,False
@Zandejn,0,,4,2022-12-28 16:25:53+00:00,2022-12-28 16:25:53+00:00,4,False
@Zenon,0,,2,2023-06-10 14:57:15+00:00,2023-06-10 14:57:15+00:00,2,False
@^$Astro^$,0,,2,2025-03-28 19:34:04+00:00,2025-03-28 19:34:04+00:00,2,False
@_PØLØ_,0,,1,2024-05-12 10:18:19+00:00,2024-05-12 10:18:19+00:00,1,False
@aadi,0,,1,2024-02-17 18:58:43+00:00,2024-02-17 18:58:43+00:00,1,False
@abhaygatsaraswat,0,,1,2023-02-15 08:36:19+00:00,2023-02-15 08:36:19+00:00,1,False
@abinding04,0,,1,2024-04-01 13:47:27+00:00,2024-04-01 13:47:27+00:00,1,False
@aditya_alshi_,0,,3,2024-02-14 23:02:20+00:00,2024-02-14 23:02:20+00:00,3,False
@afucher,0,,3,2023-02-07 01:32:54+00:00,2023-02-07 01:32:54+00:00,3,False
@agent,0,,2,2023-01-11 17:14:56+00:00,2023-01-11 17:14:56+00:00,2,False
@akidev,0,,6,2024-01-20 18:52:17+00:00,2024-01-20 18:52:17+00:00,6,False
@amrit_kt,0,,2,2024-12-30 09:54:49+00:00,2024-12-30 09:54:49+00:00,2,False
@andreninpad,0,,2,2024-10-30 11:30:25+00:00,2024-10-30 11:30:25+00:00,2,False
@andresrojas9666,0,,1,2024-07-25 21:19:18+00:00,2024-07-25 21:19:18+00:00,1,False
@andreydmitriev39r,0,,11,2022-09-14 16:23:17+00:00,2022-09-14 16:23:17+00:00,11,False
@apple,0,,2,2023-02-23 03:37:31+00:00,2023-02-23 03:37:31+00:00,2,False
@augschütze,0,,22,2022-10-14 00:50:49+00:00,2022-10-14 00:50:49+00:00,22,False
@ayidSudirman,0,,5,2024-05-02 04:53:57+00:00,2024-05-02 04:53:57+00:00,5,False
@bassem,0,,2,2023-12-25 19:46:12+00:00,2023-12-25 19:46:12+00:00,2,False
@bienvenue cedrick,0,,3,2024-10-19 08:51:07+00:00,2024-10-19 08:51:07+00:00,3,False
@blagoje13,0,,4,2024-10-17 13:13:26+00:00,2024-10-17 13:13:26+00:00,4,False
@blamblam,0,,1,2023-07-19 01:29:09+00:00,2023-07-19 01:29:09+00:00,1,False
@bogus_fogus,0,,1,2024-12-09 20:22:25+00:00,2024-12-09 20:22:25+00:00,1,False
@bradtaniguchi,0,,14,2022-12-15 02:44:56+00:00,2022-12-15 02:44:56+00:00,14,False
@brick wall,0,,2,2024-11-23 12:08:47+00:00,2024-11-23 12:08:47+00:00,2,False
@bunchofrdmltrs,0,,2,2022-12-01 16:21:42+00:00,2022-12-01 16:21:42+00:00,2,False
@buzzlebee,0,,1,2025-05-31 20:28:16+00:00,2025-05-31 20:28:16+00:00,1,False
@carlosfrontend,0,,21,2023-06-04 17:20:20+00:00,2023-06-04 17:20:20+00:00,21,False
@chef,0,,2,2023-05-24 00:06:31+00:00,2023-05-24 00:06:31+00:00,2,False
@cibejjaka,0,,3,2025-03-30 18:47:32+00:00,2025-03-30 18:47:32+00:00,3,False
@curioventurer,0,,6,2023-05-16 09:30:47+00:00,2023-05-16 09:30:47+00:00,6,False
@cyberia777,0,,3,2024-01-15 02:07:52+00:00,2024-01-15 02:07:52+00:00,3,False
