thread_id,title,question,category
63.0,Need Assistance for my data selector for my Nutrition Tracker.,"Hello, I'm having issues with the date selector in my project. Currently, I created a date selector that goes to the previous and the next date. It goes from date to date like I wanted, but it's not exactly where I want to be. The issue I am having is that the food log does not align with the date. For example, the log should work how your notebook paper works in a notebook, One page is filled with writing, and another page, has different writing. That's how I want my log to look. It's going date form the date, but the tracker itself is not changing and I have no idea how to fix that. This is an example of how I want the trackers to work:https://imgur.com/a/63iFCsSIn this example, it shows two different trackers for two different days. How can I do this for my code? If anyone can help me, that would be great. Here is my GitHub link for this project. https://github.com/Aaliyah1225/Thesis_Statement",Bug Help
336.0,"Do i use server components , actions over express JS for my App","i am building a chat app that will use socket io , mySQL database , next js , jwt for authentication as well , i was planning to use express js for the backend for my websocket server logic i was following the next js 14 tutorial they used server actions to submit form data for the new users and the rest of the App to their hosted postgre sql database is there any disadvantages for using server action and components for handling database logic over express js endpoints before i read the docs i was gonna handle both jwt , database logic with express js in the backend i saw this new react feature and i am a bit confused on which way to go and is it gonna work if i take the server actions components path ?",Resource Request
255.0,The image url is not creating,"Hey @Queen, it looks like you tried uploading something that wasn't an image or video. Please do not upload other files, to ensure the safety of our users.",General Discussion
957.0,Javascript Prmises,"I tried my best to solve this but I am not able to do it. What the code does is read all the .docx file from the directory and then summaries each file content using openai. The problem is the response array is immediately sent when the request come. Please help me resolve this issue by sending resoponse only when all the files are processedasync create(body) { let response = []; let promises = []; /// set the directory path to read the words files const directoryPath = path.join(__dirname, '../../', 'uploads'); /// reading the directory fs.readdir(directoryPath, (err, files) => { //handling error if (err) { return console.log('Unable to scan directory: ' + err); } /// openai configuration const c = new Configuration({ apiKey: process.env.OPENAI_API_KEY, }); const openai = new OpenAIApi(c); /// process the files files.forEach(async (file) => { promises.push( new Promise(async (resolve, reject) => { /// file path const path = filepath /// read file contents const result = await mammoth.extractRawText({ path: path, }); const content = result.value; const augmented_prompt = 'summarize this text: ' + content; const completion = await openai.createCompletion({ model: body.model, prompt: augmented_prompt, temperature: parseFloat(body.temperature), max_tokens: 1000, }); /// add summary to response response.push({ filename: file, summary: completion.data.choices[0].text, }); setTimeout(() => { resolve; }, 1000); }), ); }); }); setTimeout(() => { Promise.all(promises).then((value) => { return response; }); }, 1000); }",Bug Help
603.0,Overlapping elements,"Hi, I just finished the Survey Form challenge, meeting all the requirements.I am not satisfied with the result since there are 2 elements overlapping and I can't to seem to find a fix for it.In the attached scrrenshot you'll see a dropdown menu for favorite team. underneath it there is a radio input. The p element which shows the text "" Where are you from"" is missing, or rather being put behind the dropdown menu. Code is the following:https://controlc.com/3f09450cI'd appreciate your help in trying to fix this issue. I'm about to lose my mind. (modifi)",Bug Help
91.0,Learn Responsive Web Design by Building a Piano,Your second .key element should also have a class of black--key.,General Discussion
718.0,can somebody explain?,"Pictures of code are hard to read and cannot be copied into a local IDE for debugging. Please send your actual code or a link to your repository, instead of a picture.",Bug Help
271.0,Cash Register Project User Story 5,"Link to my project so farhttps://codepen.io/frosttbyyte/pen/abgJNmRNot sure why but I cannot enter the else if block in my purchaseBtn event listener when I input a value equal to the price value set in the code, despite the if block working as expected.",Resource Request
352.0,What web stack should I learn,"I don't know any popular or in demand web stack, total beginner here on full-stack dev",Learning Question
278.0,how to save user progress?,"Hi everyone,I really appreciate the answers.Im building a learning spoken languages website where the users get to guess pictures, and Im using Django and React.My question is how to make each user has its own data, or in other words has its own progress? What do I need in Django to do this?a link for a video or an article that explains that also works.Thanks.",Learning Question
477.0,fixed background image with CSS,"How do I put a fixed background image without it scrolling to a empty space at the bottom(when the contents of the page are taller than the image height) or making useless empty space at the bottom by giving the bg-image a big min-height?I'm doing the min-height thing with useless space at the bottom because I think its better than showing white space out of nowhere. How do I make this better?*{    box-sizing: border-box;    margin: 0;    padding: 0;}body, html{    width: 100%;    height: 100%;    font-family: 'Open Sans', sans-serif;    font-size: 16px;}.bg-image{    background-image: url(https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcdn8.dissolve.com%2Fp%2FD538_365_022%2FD538_365_022_1200.jpg&f=1&nofb=1&ipt=74469bb65379e32bc86645cb99881c7a459841b7b29319ae2279ef7f3d6db0a0&ipo=images);    background-repeat: no-repeat;    background-size: cover;    background-attachment: fixed;    min-height: 250vh;    background-position: center;    filter: blur(5px);    background-color: gray;    background-blend-mode: multiply;}`<body>    <div class=""bg-image""></div>    ...    ...",General Discussion
822.0,FizzBuzz,"I wrote a wrong FizzBuzz solution. Please give me hints as to how to make it right.let fizzBuzz = function(n) { switch (n) { case (n % 3 === 0 && n % 5 === 0): console.log(""FizzBuzz""); break; case (n % 3 === 0): console.log(""Fizz""); break; case (n % 5 === 0): console.log(""Buzz""); break; }};",Learning Question
76.0,CSS Pseudoclass help,"Hi guys, I need some help, this should be pretty easy but I can't get it to work I am doing CSS on fre code camp attached in the photo you can see the insteructions and this is my code.input:focus, textarea:focus { border-color: #4CAF50;  outline: none; }I just can't seem to get it to accept it, I'm not sure at all what is wrong, I asked chatGPT, gemini, all agree my code should work. What am I missing?",Learning Question
653.0,"APIs, Cloud functions, and DBs","I am new to cloud functions and relatively new to full stack development in general so is there a best practice between:A. using a cloud function as a mere API proxy so as to receive the response on the frontend at which point I update my DB or...B. update my DB with my query parameter, for example, and have a cloud function that listens to this event, makes the API call, updates the DB with the response, and then I query my database from the frontend for this data.I'm asking because Firebase has lots of plugins/extensions that involve this second scenario but, even if I write my own function, which approach would be best?",Learning Question
154.0,React Help,Can anyone tell me where I can see working React code? (Or just some sample code) I'm having a little trouble with it and if I could see some working code I may be able to put it all together. I understand JavaScript but putting it together with React I'm getting lost.,General Discussion
499.0,Semantic similarity algorithm suggestion,"I am building a ml model where I have to find the similarity between two paragraphs, could anyone suggest a good similarity checking algorithm. I dont want it to simply check the syntactic similarity but also the meaning.",General Discussion
424.0,Hamburger Menu,"Hello, I'm trying to implement a hamburger menu for practice. I'm running into an issue where the styling gets effected in the original code . Here is my code for the hamburger menu/* Hamburger Styles */.hamburger-menu {    display: none; /* Initially hidden */    flex-direction: column;    gap: 5px;    cursor: pointer;}.bar {    width: 25px;    height: 3px;    background-color: #F7F8FC;}/* Responsive Navigation */@media (max-width: 768px) {    .hamburger-menu {        display: flex; /* Display on smaller screens */    }    .nav-links {        display: none; /* Hide the links initially */        flex-direction: column;        gap: 1rem;        position: absolute;        top: 100%;        right: 0;        background-color: #2E3A59; /* Background color of the dropdown */        width: 200px; /* width of dropdown menu */    }    .nav-links.nav-active {        display: flex; /* Show links when active */    }}html<nav class=""hero-nav""> <div class=""hamburger-menu""> <div class=""bar""></div> <div class=""bar""></div> <div class=""bar""></div> </div> <div class=""nav-links""> <a href=""#mentorship"" class=""nav-link"">Mentorship</a> <a href=""/html/contact.html"" class=""nav-link"">Contact Me</a> </div></nav>```jsdocument.addEventListener(""DOMContentLoaded"", function() {    const hamburger = document.querySelector("".hamburger-menu"");    const navLinks = document.querySelector("".nav-links"");    hamburger.addEventListener(""click"", () => {        navLinks.classList.toggle(""nav-active"");    });});",Bug Help
507.0,I need help completing the last required JavaScript and algorithm certificate test,"I need help in completing the last required JavaScript test that involves working with the Pokemon API.I have done the html, CSS and JavaScript.My code works perfectly and I also checked my console, there was no error but somehow it is still rejected by freecodecamp",Bug Help
286.0,Learn Basic CSS by Building a Cafe Menu - Step 11,"I'm not sure what I'm doing wrong?Hii! I'm doing step 11 in fcc org website and I'm stuck here :<<style>      h1 {        property:text-align value;center      }    </style>Code checker says ""Your text-align property should have a value of center.""",General Discussion
713.0,seeking guidance for a remote software developer job,"Currently working at a contractual position. Which is going to end in the month of march 2024 . Experience of 2 years I want to start my preparation. Knowledge of html,css,js, react, php, postgres SQL, MySQL. DSA(c++)Currently learning REACT. Any tips to find a remote job will be helpful. Willing to join a startup or even an entry level position.programming-help-forum (modifi)",Career Advice
1061.0,Error while importing switch,https://github.com/VADDIJASWANT/ReactJS/blob/main/allsamples/src/App.jsx I am getting error when import switch can anyone help me App.jsx:11 Uncaught SyntaxError: The requested module '/node_modules/.vite/deps/react-router-dom.js?v=f32d37d9' does not provide an export named 'Switch' (at App.jsx:11:10),Bug Help
753.0,target attribute,Im confused on how im supposed to place this?,General Discussion
197.0,Element implicitly has 'any' type because expression of type 'string' can't be used to index type ',"i have a products object{  books: [];  computerPerpherials: [];  dataStorage: [];  electronics: {    cameras: [];    headphones: [];    security_surveillance: [];    vehicleElectronics: [];  };  menFashion: {    accessories: [];    clothing: [];    shoes: [];    watches: [];  };  videoGames: [];  womenFashion: {    accessories: [];    clothing: [];    handbags: [];    shoes:[];  };}the products are divided into categories and subCategories for example videoGames is a category and womenFashion/accessories is a subCategory i am accessing the different properties dynamicallyconst selectedProducts[category][subCategory]the category , subCategory are provided to the selectedProducts object from extractCategories const { mainCategory, subCategory } = extractCategories(category); however when i try to access the product this way i get this message  Element implicitly has an 'any' type because expression of type 'string' can't be used to index type productSlice  btw the return type of mainCategory, subCategory is string, any , productSlice interface :interface productSlice {  books: [];  computerPerpherials: [];  dataStorage: [];  electronics: {    cameras: ProductProps[];    headphones: [];    security_surveillance: [];    vehicleElectronics: [];  };  menFashion: {    accessories: [];    clothing: [];    shoes: [];    watches: [];  };  videoGames: [];  womenFashion: {    accessories: ProductProps[];    clothing: [];    handbags: [];    shoes: [];  };}(modifi)",General Discussion
340.0,What is inner and outer display,"I am reading through https://developer.mozilla.org/en-US/docs/Web/CSS/display and I work for the challenge https://www.freecodecamp.org/learn/2022/responsive-web-design/learn-html-forms-by-building-a-registration-form/step-16 and it saysFormally, the display property sets an element's inner and outer display types.I am lost, what is inner and what does outer mean?",Learning Question
163.0,Web-Design-Learn-HTML-Forms_Step-39,"https://www.freecodecamp.org/learn/2022/responsive-web-design/learn-html-forms-by-building-a-registration-form/step-39Step 39Link the applicable form elements and their label elements together.Use profile-picture, age, referrer, and bio as values for the respective id attributes. <fieldset> <label>Upload a profile picture: <input type=""file"" /></label> <label>Input your age (years): <input type=""number"" min=""13"" max=""120"" /></label> <label>How did you hear about us? <select> <option value="""">(select one)</option> <option value=""1"">freeCodeCamp News</option> <option value=""2"">freeCodeCamp YouTube Channel</option> <option value=""3"">freeCodeCamp Forum</option> <option value=""4"">Other</option> </select> </label> <label>Provide a bio: <textarea> <label>Upload a profile picture: <input type=""file"" id=""profile-picture""/></label> <label>Input your age (years): <input type=""number"" min=""13"" max=""120"" id=""age"" /></label> <label>How did you hear about us?</textarea> </label> </fieldset>",Resource Request
972.0,why is my android app showing me this error message,"i have create an android app with react-native i attempted to export the app to an apk using expo , i was faced by alot of errors (didn't find solution) i then created the same app without expo i did exactly what's in this video to export to an apk using android studio https://www.youtube.com/watch?v=06LWRkcmhyE&t=153s and when i installed the apk in my phone and i run it i got the error in the screenshot (modifi)",Bug Help
28.0,python thread not exiting properly,"i made a python script which makes a window using pysimplegui and then take screenshots of it in a using a capture method which runs ona separate thread but when i close the window the screen capturing thread doesn't stop ( or rather sometimes it stops and most of the time it just hangs on the "" thread.join() "" part )tha main script :import PySimpleGUI  as sgfrom time import time, sleepimport cv2 as cvimport numpy as npfrom threading import Thread , Lockfrom PIL import Image , ImageGrabimport mssimport capturelayout = [[sg.Canvas(key=""canvas"",background_color='lightgray', pad=(0,0))]]window = sg.Window(""my test window"",layout, margins=(0,0),enable_close_attempted_event= False, enable_window_config_events=True,return_keyboard_events=True,size=(500,500), transparent_color=""lightgray"", keep_on_top=True, finalize=True,no_titlebar=False,resizable=True)canvas_elm = window[""canvas""]canvas = canvas_elm.TKCanvascanvas.create_rectangle(10, 10, 20, 20, fill='yellow', width=2)loop_time =  time()window.current_size_accurate()[0] + window.CurrentLocation()[0] , window.current_size_accurate()[1] + window.CurrentLocation()[1])capture_screen = capture.Capture(window)capture_screen.start()canvas_elm.set_size(window.size)while True:   event, values = window.read()      if event == sg.WINDOW_CLOSED :    capture_screen.stop()    cv.destroyAllWindows()    capture_screen.t.join()    window.close()    break   if capture_screen.screenshot is None:       continue   screenshot = capture_screen.screenshot   cv.imshow(""screenshot"",screenshot)",Career Advice
407.0,seeking guidance for a remote software developer job,"Currently working at a contractual position. Which is going to end in the month of march 2024 . Experience of 2 years I want to start my preparation. Knowledge of html,css,js, react, php, postgres SQL, MySQL. DSA(c++)Currently learning REACT. Any tips to find a remote job will be helpful. Willing to join a startup or even an entry level position.programming-help-forum (modifi)",Career Advice
468.0,nodejs issues in session retrieval for authentication.,"Here is the gist link - https://gist.github.com/saradhapreetha/0d833d093993a12cc8d5f2918869fff2This is a mern implementation.How I have implemented is the login component is rendered, users submit email and password, an axios call is made to backend login , which verifies user and stores session.I have initiated session middleware and set cors .once login verification and session is set, I send response to frontend , which takes the redirect url and navigates the user to home page. (question : is the session lost here)in home component another axios request to /findMatches is made with {withCrednetials:true} property.This is a protected route , so I call IsAuthenticated middleware function.Issue: in the handle login function, right after setting the user in session, if I print session, i get below as response, Session { cookie: { path: '/', _expires: null, originalMaxAge: null, httpOnly: true, secure: false }, user: { _id: new ObjectId('660bd66780ef1262e5ac53c9'), username: 'localuser', email: 'local@sarg.com', password: 'sarg@123', profileVector: [ 0, 0, 0 ], createdAt: 2024-04-02T09:56:56.003Z, __v: 0 }}but when /findmatches is called, the req.session value in isAuthenticated is as below,Session { cookie: { path: '/', _expires: null, originalMaxAge: null, httpOnly: true }}there is no user object, whyMongoDB is storing the user, please refer to the screenshot.How to access session user, what is wrong here. Please help , my project is stuck because of this authentication issue",Bug Help
234.0,Sometimes this works sometimes it doesn't???,Trying to enter html tags with lang. Other docs this is exactly what it wants but not throwing up an error???????,Bug Help
938.0,how do i get user profile data with the managment Api in Auth0 in my (next js) App,"i wanted to get the metadata from my users profile i went through the docs i learned that u can do it through the managment api i understand that u need an access token first to be able to use it , u have to register a machine to machine app first then make a post request to get the token var axios = require(""axios"").default;var options = {  method: 'POST',  url: 'https://{yourDomain}.us.auth0.com/oauth/token',  headers: {'content-type': 'application/x-www-form-urlencoded'},  data: new URLSearchParams({    grant_type: 'client_credentials',    client_id: 'client_id',    client_secret: '{yourClientSecret}',    audience: 'https://{yourDomain}/api/v2/'  })};axios.request(options).then(function (response) {  console.log(response.data);}).catch(function (error) {  console.error(error);}); now i get error in the image (modifi)",Bug Help
792.0,getting security error in NextJs,"hey folks I'm getting the cross-origin frame error please someone help me to solve it this is my codeexport const InviteWindow = (props: NewWindowProps) => {    const [container, setContainer] = useState<HTMLDivElement | null>(null);    const newWindow = useRef<Window | null>(window);    const router = useRouter()    useEffect(() => {        const div = document.createElement(""div"");        setContainer(div);    }, [])    useEffect(() => {      if(!newWindow){        return;      }            const timer = setInterval(() => {        if(!newWindow) {            timer && clearInterval(timer);            return;        }        const currentUrl = newWindow.current?.location.href;        if(!currentUrl){            return;        }        const searchParams = new URL(currentUrl).searchParams;        const code = searchParams.get(""code"");        if(code) {            newWindow.current?.close()        }      }, 500)      if(container){        newWindow.current = window.open(`${props.url}`, """", ""width=600,height=640,top=100,left=50"");        if(newWindow.current) {            newWindow.current.document.body.appendChild(container);            const curWindow = newWindow.current;            curWindow.addEventListener('unload', () => props.onUnLoad())        }      }    }, [newWindow, container])    return container && createPortal(props.children, container);}I'm using NextJs",Bug Help
806.0,Problem with aligning the text inside my navbar,"Hey, I'm trying to make this simple website and right now I'm working on the navbar. In the navbar I also have this logo that I created with font awesome and text, it also has a bigger font size than the other elements in the navbar. The logo for some reason isn't aligning with the other navbar elements. Any help would be greatly appreciated, thank you.",Bug Help
627.0,global-Css not responding to background color,Long story short right now I am creating a Portofolio website by following a tutorial from youtubeeverything went smooth until I stumbled into this problem where the global-Css didn't respond to the color that i imported in the background color.PS: I have hosted a website so that it is easy to help with problemhttps://jcodes0.github.io/jcodescreatedawebsite./,Bug Help
83.0,Problem with discord bot,I have 2 servers one for my friends and one for testing with my discord bot. And today i got a new problem. It only works on the friends only server and doesnt do anything on the test server. First picture is in the friends server and the second is in the test. I can give code too (modifi),Bug Help
276.0,Help with FlipCard effect,"Hi friends! After completing the Cat Photo Gallery, I tried recreating one myself, as I wanted to have a gallery of ATLA characters. To take it further, I want the photos to have a flip card effect, and by following the steps here: https://jefferson-cuartas.medium.com/how-to-create-a-flip-card-effect-using-javascript-767dd945210c, I still wasn't successful. I don't know much about JS yet and knows the very very basics, so can someone tell me what I did wrong here? I'm still really new so I know there may be a lot, but some guidance would be very much appreciated. Here's my CodePen: https://codepen.io/revup37/pen/WNqKzxO",General Discussion
464.0,Binary base 2 understanding,"I wanted to make this a thread for future reference, here is a screenshot, what I do not understand, how 91 cannot in 128",General Discussion
173.0,fCC Responsive Web Dev Piano Project Pseudo-Element Confusion,"Hey everyone. I've come across the ::before and ::after pseudo-elements and I understand the concept that these pseudo-elements will be created after the targeted element. But I don't understand how this works in the CSS code I've attached below. If I remove the pseudo-element then all classes of .key.black--key will be filled in with the background colour, which is fine I get that. But when I introduce the pseudo-element it will generate the content inside of the targeted class and not next to it. I think it's something to do with the box-sizing property but there's gaps in my knowledge. If someone can fill in those gaps I would greatly appreciate it!Thank you!!html {  box-sizing: border-box;}*, *::before, *::after {  box-sizing: inherit;}#piano {  background-color: #00471b;  width: 992px;  height: 290px;  margin: 80px auto;  padding: 90px 20px 0 20px;}.keys {  background-color: #040404;  width: 949px;  height: 180px;  padding-left: 2px;}.key {  background-color: #ffffff;  position: relative;  width: 41px;  height: 175px;  margin: 2px;  float: left;}.key.black--key::after {  background-color: #1d1e22;  content: """";",General Discussion
496.0,How does .includes work,"I m trying to understand how .includes work, e.g. how does it find a item in array without a loop, e.g. take a example ofconst array1 = [1, 2, 3];console.log(array1.includes(2));// Expected output: true",General Discussion
464.0,Cannot find where tests are failing.,"Hello,I am currenlty working on the technical documentation project for freeCodeCamps web dev certification. When I run the code below these two tests fail (1) All of your .nav-link elements should be in the #navbar and (2) You should have the same number of .nav-link and .main-section elements. I cannot find the problem in my code . here is my code:<nav id='navbar'> <header>Numpy</header> <ul> <li><a class='nav-link'href='#Introduction'>Introduction</li> <li><a class='nav-link'href='#Numpy'>Numpy</li> <li><a class='nav-link'href='#Matrix_Addition'>Matrix Addition</li> <li><a class='nav-link'href='#Matrix_Subtraction'>Matrix Subtraction</li> <li><a class='nav-link'href='#Matrix_Multiplication'>Matrix Multiplication</li> <li><a class='nav-link'href='#Transpose'>Transpose</li> <li><a class='nav-link'href='#Conclusion'>Conclusion</li> </ul></nav> <main id='main-doc'> <section class='main-section'id='Introduction'> <header>Introduction</header> </section> <section class='main-section'id='Numpy'> <header>Numpy</header> </section> <section class='main-section'id='Matrix_Addition'> <header>Matrix Addition</header> </section> <section class='main-section'id='Matrix_Subtraction'> <header>Matrix Subtraction</header> </section> <section class='main-section'id='Matrix_Multiplication'> <header>Matrix Multiplication</header> </section> <section class='main-section'id='Transpose'> <header>Transpose</header> </section> <section class='main-section'id='Conclusion'> <header>Conclusion</header> </section>",Bug Help
55.0,Tribute Page Certificate Project Issue,"I encountered a problem with the image width in the tribute project. Initially, I set the image max-width to 80% and ran the test, but as you can see, it didn't meet the criteria in question 17. After changing the max-width to 100%, question 17 passed, but question 19 failed instead. In conclusion, setting the max-width to 80% causes question 17 to fail, while setting it to 100% causes question 19 to fail. Please (modifi)",Bug Help
577.0,proto,"After some research prototype seems to have existed for a long time before dynamic modification was added with __proto__ , and ecma just didn't bother to modify prototype. But apparently there are actual differences, though this seems vague. The only differences I could find areprototype will be automatically inherited while __proto__ won't,prototype alone won't do anything while __proto__ actually has the functionality of a proxy,On second thought this actually makes sense, but I'm not certain it's correct..Also are there any other differences?",General Discussion
162.0,need help with my bootstrap section cant get to take while right side and responsive,the last image is mine anyone can help please this is urgent ?,General Discussion
433.0,JS Algorithms and Data Structures - Step 90,function clearForm() {  const inputContainers = document.querySelectorAll(input-container);},General Discussion
